Ref,Val,Package,PosX,PosY,Rot,Side
"A1","RaspberryPi_Pico","RaspberryPi_Pico_Common_Unspecified",158.690000,-93.610000,90.000000,top
"C1","10uF","C_0805_2012Metric",148.000000,-125.000000,-90.000000,top
"C2","100nF","C_0402_1005Metric",134.500000,-62.500000,0.000000,top
"C3","100nF","C_0402_1005Metric",172.000000,-63.000000,0.000000,top
"C4","100nF","C_0402_1005Metric",142.980000,-80.000000,0.000000,top
"C5","100nF","C_0402_1005Metric",138.500000,-80.500000,180.000000,top
"D1","LED","LED_0402_1005Metric",183.010000,-79.000000,0.000000,top
"J4","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",156.500000,-67.725000,0.000000,top
"R1","10K","R_0402_1005Metric",170.000000,-80.000000,-90.000000,top
"R2","10K","R_0402_1005Metric",145.510000,-80.000000,180.000000,top
"R3","10K","R_0402_1005Metric",151.990000,-112.500000,-90.000000,top
"R4","10K","R_0402_1005Metric",147.500000,-112.500000,-90.000000,top
"R5","1K","R_0402_1005Metric",180.000000,-79.000000,0.000000,top
"SW1","SW_SPDT","PinSocket_1x03_P2.54mm_Vertical",161.500000,-65.225000,0.000000,top
"U1","~","N64_cartridge_connecter_2.5mm",160.000000,-47.000000,0.000000,top
"U2","~","N64_cartridge_pins_2.5mm",152.500000,-109.000000,0.000000,top
"U3","SN74CBTLV3245ADW","DW20",180.000000,-67.500000,90.000000,top
"U4","SN74CBTLV3245ADW","DW20",142.500000,-67.500000,90.000000,top
